Incident Date,State,City Or County,Address,# Killed,# Injured,#Total
28-Aug-20,Pennsylvania,Chester,2900 block of W 2nd St,1,3,4
28-Aug-20,Texas,Dallas,2600 block of Elm St,1,4,5
27-Aug-20,Oregon,Portland,10500 block of NE Halsey St,1,3,4
26-Aug-20,Michigan,Pontiac,252 Carriage Circle Dr,3,1,4
26-Aug-20,South Carolina,Hilton Head Island,Muddy Creek Rd and Spanish Wells Rd,0,4,4
26-Aug-20,Pennsylvania,Philadelphia,5500 block of Chew Ave,0,4,4
25-Aug-20,Virginia,Norfolk,800 block of E Princess Anne Rd,0,5,5
25-Aug-20,New York,Rochester,70 block of Flower St,0,4,4
24-Aug-20,Michigan,Detroit,11938 E McNichols Rd,0,4,4
24-Aug-20,California,Sacramento,1200 block of Helena Ave,1,3,4
24-Aug-20,Florida,West Palm Beach,1000 block of 18th St,0,4,4
24-Aug-20,Virginia,Richmond,2300 block of Bethel St,1,4,5
23-Aug-20,Arkansas,Pine Bluff,2901 W 28th Ave,0,7,7
23-Aug-20,New York,Brooklyn,2946 W 23rd St,1,3,4
23-Aug-20,Tennessee,Somerville,1100 block of Brewer Rd,1,4,5
23-Aug-20,Colorado,Pueblo,2000 block of Longhorn Point,0,6,6
23-Aug-20,Illinois,Champaign,100 block of Kenwood Rd,0,4,4
23-Aug-20,Illinois,Chicago,6600 S Halsted St,0,4,4
22-Aug-20,Illinois,Rockford,1300 block of 10th St,1,3,4
22-Aug-20,Alabama,Bessemer (Hueytown),Allison Bonnet Memorial Dr and Rutledge Dr,1,3,4
19-Aug-20,Pennsylvania,Philadelphia,700 block of S 55th St,0,4,4
